Time,Rank,Price,BookName,Location
2019-03-17 23:01:46,78,15.19,"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",https://www.amazon.com/Simple-Path-Wealth-financial-independence/dp/1533667926/
2019-03-17 23:01:46,79,11.1,2019 Lippincott Pocket Drug Guide for Nurses,https://www.amazon.com/2019-Lippincott-Pocket-Guide-Nurses/dp/1975107845/
2019-03-17 23:01:46,80,136.4,MCAT Complete 7-Book Subject Review 2019-2020: Online + Book + 3 Practice Tests (Kaplan Test Prep),https://www.amazon.com/Complete-7-Book-Subject-Review-2019-2020/dp/1506235484/
2019-03-17 23:01:46,81,9.17,A Handbook of United States Coins Blue Book 2019 (The Official Blue Book of United States Coins),https://www.amazon.com/Handbook-United-States-Coins-Official/dp/0794846491/
2019-03-17 23:01:46,82,23.7,Essential Truths for Principals,https://www.amazon.com/Essential-Truths-Principals-Danny-Steele/dp/0367138018/
2019-03-17 23:01:46,83,13.38,"Cracking the ACT with 6 Practice Tests, 2019 Edition: 6 Practice Tests + Content Review + Strategies (College Test Preparation)",https://www.amazon.com/Cracking-ACT-Practice-Tests-2019/dp/0525567658/
2019-03-17 23:01:46,84,15.41,"Cracking the ACT Premium Edition with 8 Practice Tests, 2019: 8 Practice Tests + Content Review + Strategies (College Test Preparation)",https://www.amazon.com/Cracking-Premium-Practice-Tests-2019/dp/052556764X/
2019-03-17 23:01:46,85,12.88,Robert's Rules of Order Newly Revised (Robert's Rules of Order (Paperback)),https://www.amazon.com/Roberts-Rules-Order-Revised-Paperback/dp/030682020X/
2019-03-17 23:01:46,86,12.29,BLS (Basic Life Support) Provider Manual,https://www.amazon.com/Basic-Life-Support-Provider-Manual/dp/1616694076/
2019-03-17 23:01:46,87,12.91,"Cracking the AP Environmental Science Exam, 2019 Edition: Practice Tests & Proven Techniques to Help You Score a 5 (College Test Preparation)",https://www.amazon.com/Cracking-Environmental-Science-Exam-2019/dp/1524758051/
2019-03-17 23:01:46,88,4.99,"Webster's Spanish-English Dictionary for Students, Second Edition (English and Spanish Edition)",https://www.amazon.com/Websters-Spanish-English-Dictionary-Students-English/dp/1596951656/
2019-03-17 23:01:46,89,16.37,"All New Square Foot Gardening, 3rd Edition, Fully Updated: MORE Projects - NEW Solutions - GROW Vegetables Anywhere",https://www.amazon.com/Square-Foot-Gardening-Fully-Updated/dp/0760362858/
2019-03-17 23:01:46,90,3.59,"How to Make Sh*t Happen: Make more money, get in better shape, create epic relationships and control your life!",https://www.amazon.com/How-Make-Sh-Happen-relationships/dp/1984268945/
2019-03-17 23:01:46,91,17.1,"The Metabolism Reset Diet: Repair Your Liver, Stop Storing Fat, and Lose Weight Naturally",https://www.amazon.com/Metabolism-Reset-Diet-Storing-Naturally/dp/0525573445/
2019-03-17 23:01:46,92,15.78,12 Rules For Life [Paperback],https://www.amazon.com/Rules-Life-Paperback-Jordan-Peterson/dp/0241351642/
2019-03-17 23:01:46,93,36.15,Admission Assessment Exam Review,https://www.amazon.com/Admission-Assessment-Exam-Review-HESI/dp/0323353789/
2019-03-17 23:01:46,94,10.33,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises From The Power of Now",https://www.amazon.com/Practicing-Power-Now-Essential-Meditations/dp/1577311957/
2019-03-17 23:01:46,95,17.7,That Good Night: Life and Medicine in the Eleventh Hour,https://www.amazon.com/That-Good-Night-Medicine-Eleventh/dp/0735223319/
